article,corpus,target,label
"
The original poster, John Navitsky, said that he might use the monitor on
a SparcStation LX. The LX is able to generate a picture at 1280*1024 at
76 Hz. Not officially, but I tried to set this resolution and refresh rate
and the LX came up with a non-syncing screen. Our tube obviously couldn't
handle this speed. At 67 Hz, it worked perfectly.

When buying a third party monitor that's going to be used on a SparcStation
LX, you might consider a monitor that's fast enough to do 1280*1024 at 76Hz.
I don't know for sure whether the LX supports this (Sun certainly won't tell
you) so you'll have to check.",original poster john navitsky say might use monitor sparcstation lx lx able generate picture 12801024 76 hz not officially try set resolution refresh rate lx come nonsynce screen tube obviously not handle speed 67 hz work perfectly buy third party monitor go use sparcstation lx might consider monitor fast enough 12801024 76hz not know sure whether lx support sun certainly not tell check,0,comp.sys.ibm.pc.hardware
"

[discussion of pros and cons deleted]


Could someone give me the references to the LLNL proposal?  I've been meaning
to track it down in conjuntion with something I'm working on.  It's not 
directly related to space stations, but I think many of the principles will 
carry over.
",discussion pro con delete could someone give reference llnl proposal mean track conjuntion something work not directly relate space station think many principle carry,2,sci.space
"Maybe I should have been clearer.  I have a Intel 386DX/25 that I would
like to use to put together a system however all the motherboards that
the local vendors are now selling are running either at 33 or 40 MHz.  I
guess I can cross my fingers and hope the CPU runs at that speed. ;^)

I think I'll take Mark's advice and see if any of the boards have
a socketed oscillator and head down to the local electronics store...

Thanks for the info...",maybe clear intel 386dx25 would like use put together system however motherboard local vendor sell run either 33 40 mhz guess cross finger hope cpu run speed think take mark advice see board sockete oscillator head local electronic store thank info,0,comp.sys.ibm.pc.hardware
"A brief political/cultural item.

Radio station WGMS in Washington is a classical music station with
a large audience among high officials (elected and otherwise).  
Imagine a radio station that advertises Mercedes Benzes, diamond
jewelry, expensive resorts and (truthfully) Trident submarines.

This morning I heard a commercial for the space station project.
Didn't catch the advertiser.

Guess they're pulling out all the stops.",brief politicalcultural item radio station wgm washington classical music station large audience among high official elect otherwise imagine radio station advertise mercede benze diamond jewelry expensive resort truthfully trident submarine morning hear commercial space station project not catch advertiser guess pull stop,2,sci.space
"
Well... all the way through a decreasing-radius corner, anyway...


OK (but I'm right!)  :^)


If that's the ""official line"" taught in those rider education classes
you were refering to, that also don't teach countersteering, I have to
question the quality of the classes.  The ""official line"" in MSF
curricula is as I described.  Maximum braking is achieved by applying
both brakes equally, when the weight distribution is nominally even and
both tires have equal normal forces, and easing off on the rear to
prevent locking it, and increasing braking on the front, as more
traction is available to the front due to increased normal force due to
weight shift.

The ""official line"" you have been taught seems ineffective on the face
of it.  Applying the rear brake after the front is not taking advantage
of all the traction available to the rear at time 0, and is halving the
available braking power by using only the front at time 0.


Not necessarily true.  ""Chirping"" the tire indicates impending lockup
(on most surfaces), and serves as a good guide to newbies to indicate
maximum braking.  I agree that totally locking the front occasionally
makes one a better rider, but it is a manuver best saved for an
experienced rider, unless you have one of those outrigger bikes like
Code used to use.


True, but from the point of view of how to best *teach* riding skills
(which is how this discussion started), ""keep both wheels just on the
point of sliding"" is nearly useless information.  You need to teach a
*technique*, or at least a strategy, to achieve this.
",well way decreasingradius corner anyway ok right official line teach rider education class refer also not teach countersteere question quality class official line msf curricula describe maximum braking achieve apply brake equally weight distribution nominally even tire equal normal force ease rear prevent lock increase braking front traction available front due increase normal force due weight shift official line teach seem ineffective face apply rear brake front not take advantage traction available rear time 0 halve available braking power use front time 0 not necessarily true chirping tire indicate impending lockup surface serve good guide newbie indicate maximum braking agree totally lock front occasionally make one well rider manuver well save experienced rider unless one outrigger bike like code use use true point view well teach ride skill discussion start keep wheel point slide nearly useless information need teach technique least strategy achieve,1,rec.motorcycles
"

Perhaps you should try nic.funet.fi instead of funet.fi ??!?!?
nic.funet.fi is THE biggest (?) ftp site from Europe, but
the stuff available there should (?) also be available at the other site
of the ""big pool"".",perhaps try nicfunetfi instead funetfi nicfunetfi big ftp site europe stuff available also available site big pool,0,comp.sys.ibm.pc.hardware
"Hello

I've got an old Trident 8800CS SVGA card, but lacking suitable drivers
for windows 3.1. The drivers for the 8900 series seem to be incompatible.
Does anyone have an idea of where to get these drivers? Address for an
ftp-site would be nice. 

Thanks in advance

Jouni",hello get old trident 8800cs svga card lack suitable driver window 31 driver 8900 series seem incompatible anyone idea get driver address ftpsite would nice thank advance jouni,0,comp.sys.ibm.pc.hardware
"

  So.  If I can scrounge up a good looking CX500 Turbo, will someone
  trade me an MHR Duc for it?



===============================================================================",scrounge good look cx500 turbo someone trade mhr duc,1,rec.motorcycles
": I'm in the market for all small (12x12 or so) digitizing tablet and would
: like any comments.  The main names I see are Calcomp, Summagraphics, and 
: Kurta.  What are the major differences?  Any particular preference?  Also
: what should I look for and what should I avoid?  Thanks for any input
: you can provide.


:                               Rithea Hong
:                        (r0h7630@tamuts.tamu.edu)",market small 12x12 digitizing tablet would like comment main name see calcomp summagraphic kurta major difference particular preference also look avoid thank input provide rithea hong r0h7630tamutstamuedu,0,comp.sys.ibm.pc.hardware
"
I would prefer a picture with you in it.  Since most motorcycles don't post,
and are rather similar looking (i.e all R100S's are more alike than they are
different), it is the people that are ultimately more interesting.

From archive_policy.txt:

BTW, I have Charlie Smith's pictures available.


Interestingly, I've been to Stanley, ID by motorcycle.  Nice little town,
nice road getting there.

-Bruce",would prefer picture since motorcycle not post rather similar look ie r100s alike different people ultimately interesting archivepolicytxt btw charlie smith picture available interestingly stanley i d motorcycle nice little town nice road get bruce,1,rec.motorcycles
"Okay, okay.  I forgot about that.  Sheeesh.",okay okay forgot sheeesh,1,rec.motorcycles
"
Pick up a copy of PC Magazine or Byte, and look in the classifieds and
small-print ads in the back. There are a handful of shops that specialize
in BIOS upgrades.

",pick copy pc magazine byte look classified smallprint ad back handful shop specialize bio upgrade,0,comp.sys.ibm.pc.hardware
"Okay, here is my configuration:

80486-33 Gateway 433C Micronics ISA
12MB RAM 
WD212MB IDE HD ( drive C: )
ST3144A 125MB IDE HD ( drive D: )
Adaptec SCSI 1542B controller, with SCSI BIOS enabled
Seagate ST296N 80MB SCSI drive

Alrighty, when I boot up I get the Adaptec BIOS message, but it says
something like:

""Drive C: installed""
""Drive D: installed""
""ADaptec SCSI BIOS not installed!""

And I can't get to the Seagate drive.

I go into PhoenixBIOS setup, remove the entry for drive D:, and BOOM, I can
access the Seagate.  Is there a way to get two IDE drives and the Seagate
at the same time?  I have ASPI4DOS.SYS, but it just hangs the system.",okay configuration 8048633 gateway 433c micronic isa 12 mb ram wd212 mb ide hd drive c st3144a 125 mb ide hd drive adaptec scsi 1542b controller scsi bio enable seagate st296n 80 mb scsi drive alrighty boot get adaptec bio message say something like drive c instal drive instal adaptec scsi bio not instal not get seagate drive go phoenixbio setup remove entry drive boom access seagate way get two ide drive seagate time aspi4dossys hang system,0,comp.sys.ibm.pc.hardware
"A friend recently bought a used 286.  The brand is Syntrex.  It didn't come with any documentation and I am trying to find some information about the computer.  So the question is, has anyone heard of it?  If you know anything about these please drop me a note.

Thank you
",friend recently buy use 286 brand syntrex not come documentation try find information computer question anyone hear know anything please drop note thank,0,comp.sys.ibm.pc.hardware
"
Er, without a bike (Ed, maybe you ought to respond to this...), how
you gonna get there?

If yer going by cage, what's this got to do with r.m?


Maybe somebody oughta gang-tool-FAQ this guy, hmmm?


",er without bike ed maybe ought respond gon na get yer go cage get rm maybe somebody oughta gangtoolfaq guy hmmm,1,rec.motorcycles
"

No.  The simple $25 style IDE controller does not use DMA.  The CPU performs
the data transfer with a string move instruction.  This requires that the
CPU stop what it had been doing and transfer the data.  Only the smart drive
controllers, be they IDE or SCSI, can transfer via DMA.  These controllers
tend to cost the same wether they are IDE or SCSI.  To get the DMA benefits,
IDE must sacrifice it's price advantage *on the controller*.



Floppies aren't on the IDE bus, your arguement makes no sense, this isn't
an IDE issue.  The floppys have their own processor on their controller
board which handles all of these commands.

The difference between IDE and SCSI is that all SCSI peripherials are
intelligent.  They each have their own controller.  They depend on the
CPU to do fewer things for them, i.e. IDE drives needing a processor
to transfer their data.




The dettach/callback mechanism alows the CPU to make requests of the 
devices on the SCSI bus and then dettach and go about its business.
Later, when the device is done, it issues a callback to say that the
data has arrived or the function has completed.  Most SCSI cards will
also DMA the data into memory without the interupting the CPU, therefore
allowing it to continue working uninterupted.  IDE supports no such concept
as dettach/callback.  

Can you see how this would be a win in any multitasking system?

--David Willmore

-- 
---------------------------------------------------------------------------
willmore@iastate.edu | ""Death before dishonor"" | ""Better dead than greek"" | 
David Willmore  | ""Ever noticed how much they look like orchids? Lovely!"" | ",simple 25 style ide controller not use dma cpu perform datum transfer string move instruction require cpu stop transfer datum smart drive controller ide scsi transfer via dma controller tend cost wether ide scsi get dma benefit ide must sacrifice price advantage controller floppy not ide bus arguement make sense not ide issue floppys processor controller board handle command difference ide scsi scsi peripherial intelligent controller depend cpu few thing ie ide drive need processor transfer datum dettachcallback mechanism alow cpu make request device scsi bus dettach go business later device do issue callback say datum arrive function complete scsi card also dma datum memory without interupte cpu therefore allow continue work uninterupted ide support concept dettachcallback see would win multitasking system david willmore willmoreiastateedu death dishonor well dead greek david willmore ever notice much look like orchid lovely,0,comp.sys.ibm.pc.hardware
"
A couple of other tips.

1) Make a habit of parking the bike so that instruments are facing away
   from the sun.

2) Meguiar's Mirror Glaze Plastic Polish & Plastic Cleaner. (Cue canned
   product plug #2543):


What you want are Meguiar's Mirror Glaze Plastic Polish and Plastic
Cleaner. They are very mild abrasives meant to remove scratches from
plastic. For fine scratches just use the Polish, for bigger ones start
with the Cleaner and finish with the Polish. The stuff is $5-8 bucks per
bottle at most auto or motorcycle parts stores. Don't choke over the
price too much, since both bottles will probably last you 10 years. The
stuff works great on plastic watch ""crystals"" and compact discs too.",couple tip 1 make habit parking bike instrument face away sun 2 meguiar mirror glaze plastic polish plastic clean cue can product plug 2543 want meguiar mirror glaze plastic polish plastic clean mild abrasive mean remove scratch plastic fine scratch use polish big one start clean finish polish stuff 58 buck per bottle auto motorcycle part store not choke price much since bottle probably last 10 year stuff work great plastic watch crystal compact disc,1,rec.motorcycles
"
Yeah, hypothermia is MUCH more detrimemtal to your judgement and reactions
than people realise. I wish I had the patience to stop when I should. One
day I'll pay for it....",yeah hypothermia much detrimemtal judgement reaction people realise wish patience stop one day pay,1,rec.motorcycles
"
Automatic revocation of your license for a year.  I'm not sure it's the
""toughtest"" law around, but NC has absolutely no sense of humor with
respect to driving laws, anyway.  I think they put you in jail and sell
your first child into slavery for passing a school bus...

A bill breezed through the NC House to lower the intoxification level
from .1 to .08.  It faces stiff opposition in the Senate.  Recently,
the Highway Patrol took a few of the opposition Senators out and gave
them some shots, and when they hit .07, put them on a course dodging
cones.  They failed, and will probably change their votes as a result.

For some bizarre reason, NC is the only state where the governer has no
veto power over legislation coming out of the state Congress, so his
opinion on the matter is moot.
",automatic revocation license year not sure tought law around nc absolutely sense humor respect drive law anyway think put jail sell first child slavery pass school bus bill breeze nc house low intoxification level 1 08 face stiff opposition senate recently highway patrol take opposition senator give shot hit 07 put course dodge cone failed probably change vote result bizarre reason nc state governer veto power legislation come state congress opinion matter moot,1,rec.motorcycles
"
It's quite simple; the code is the week and year of manufacture.",quite simple code week year manufacture,1,rec.motorcycles
